Rank,Artist,Song,Album,Year
1,Prince,Purple Rain,Purple Rain,1984
2,Queen,Bohemian Rhapsody,A Night at the Opera,1975
3,David Bowie,Heroes,Heroes,1977
4,John Lennon,Imagine,Imagine,1971
5,The Beatles,A Day In The Life,Sgt. Pepper's Lonely Heart's Club Band,1967
6,Nirvana,Smells Like Teen Spirit,Nevermind,1991
7,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1965
8,Pink Floyd,Wish You Were Here,Wish You Were Here,1975
9,Bob Dylan,Tangled up in Blue,Blood on the Tracks,1975
10,Led Zeppelin,Stairway to Heaven,Led Zeppelin IV,1971
