id,title,artist,acousticness,duration,energy,instrumentalness,liveness,loudness,speechiness,valence,danceability,
54X78diSLoUDI3joC2bjMz,Purple Rain,Prince ,0.035300002,520787,0.451999992,0.00228,0.68900001,-10.42199993,0.0307,0.188999996,0.367000014,
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen ,0.254000008,354320,0.395999998,0,0.268000007,-9.909999847,0.050000001,0.226999998,0.397000015,
7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remastered Version,David Bowie ,6.71E-04,371413,0.758000016,0.483999997,0.092,-6.491000175,0.0297,0.435000002,0.49000001,
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered,John Lennon ,0.907000005,187867,0.256999999,0.182999998,0.093500003,-12.3579998,0.0252,0.169,0.546999991,
0hKRSZhUGEhKU6aNSPBACZ,A Day In The Life - Remastered 2009,The Beatles ,0.289999992,337413,0.456999987,1.06E-04,0.921999991,-14.1619997,0.067500003,0.174999997,0.363999993,
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana ,2.86E-05,301920,0.906000018,1.01E-04,0.104999997,-4.525000095,0.065800004,0.727999985,0.515999973,
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Bob Dylan ,0.728999972,369600,0.721000016,0,0.188999996,-6.835999966,0.032000002,0.561999977,0.48300001,
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd ,0.735000014,334744,0.261999995,0.0114,0.832000017,-15.72999954,0.0414,0.375,0.481000006,
6Vcwr9tb3ZLO63F8DL8cqu,Tangled up in Blue,Bob Dylan ,0.414000005,341627,0.661000013,1.16E-06,0.096199997,-13.1260004,0.043299999,0.55400002,0.421000004,
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin ,0.579999983,482830,0.340000004,0.0032,0.115999997,-12.04899979,0.0339,0.196999997,0.338,
7mMMywPtAdNfJz9iQtOSwk,Under Pressure,Queen David Bowie ,0.381999999,236733,0.52700001,0,0.088799998,-12.65299988,0.053100001,0.44600001,0.666999996,
51H2y6YrNNXcy3dfc3qSbA,When Doves Cry,Prince ,0.0102,352906,0.989000022,4.45E-05,0.442999989,-4.612999916,0.048999999,0.839999974,0.728999972,
6iGU74CwXuT4XVepjc9Emf,God Only Knows - Remastered,The Beach Boys ,0.252999991,173040,0.486999989,0,0.0579,-7.525000095,0.029899999,0.48300001,0.521000028,
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones ,0.446999997,270773,0.629999995,0.039000001,0.170000002,-8.277000427,0.030999999,0.488999993,0.634000003,
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters ,5.96E-05,250547,0.882000029,3.10E-04,0.080499999,-5.539999962,0.036899999,0.356000006,0.412,
74X1epeRufHckhuX1KFD04,Hallelujah,Jeff Buckley ,0.921000004,413320,0.143000007,6.36E-04,0.372000009,-10.77999973,0.0317,0.094800003,0.338999987,
6hTcuIQa0sxrrByu9wTD7s,Born to Run,Bruce Springsteen ,0.00501,269920,0.944000006,2.05E-05,0.115999997,-4.198999882,0.097499996,0.606000006,0.270000011,
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin ,0.164000005,147600,0.558000028,2.20E-05,0.0546,-5.225999832,0.041000001,0.964999974,0.805000007,
